,PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,LogSalePrice,Prop_Addr,ClassPr_S,ClassSc_S,AcreGr,AcreNt_S,NmbrBRs,Latitude,Longitude,LF_median,YmSold
10,528186170,1342,219500,1-STORY PUD 1946 & NEWER,RL,6240,1,None,3,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,196.0,4,3,PConc,4,3,1,5,24.0,1,0.0,1318.0,1342.0,GasA,5,1,SBrkr,1342,0,0,0.0,0.0,2,0,2,1,4,6,7,1,4,Attchd,2007.0,2,2.0,550.0,3,3,2,0,35,0,0,0,0,0,None,None,0,2,2008,WD ,Normal,12.299107511497363,3629 CHILTON AVE,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,0.0,0.0,2.0,42.0571198,-93.6514243,48.0,2008-2
11,923426070,1274,136000,2-STORY 1946 & NEWER,RL,10475,1,None,3,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,5,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,1,2,458.0,1,0.0,166.0,624.0,GasA,4,1,SBrkr,624,650,0,0.0,0.0,1,1,3,1,3,6,7,0,0,Detchd,1993.0,1,2.0,576.0,3,3,2,22,0,0,0,0,0,0,GdWo,None,0,3,2010,WD ,Normal,11.820410164718188,700 KEN MARIL RD,RESIDENTIAL,2-STORY 1946 & NEWER,0.0,0.0,3.0,41.986647,-93.600582,63.0,2010-3
12,902204080,861,80000,1-STORY 1945 & OLDER,RM,7404,1,None,3,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,2,3,1,1,0.0,1,0.0,861.0,861.0,GasA,3,1,SBrkr,861,0,0,0.0,0.0,1,0,2,1,3,5,7,0,0,Detchd,1920.0,1,2.0,288.0,3,3,0,0,0,128,0,0,0,0,None,None,0,11,2009,Oth,Normal,11.289781913656018,1102 CARROLL AVE,RESIDENTIAL,SPLIT OR MULTI-LEVEL,0.0,0.0,2.0,42.032048,-93.608829,62.0,2009-11
13,535105100,1394,159000,1-STORY 1946 & NEWER ALL STYLES,RL,9500,1,None,2,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,3,3,CBlock,4,3,1,3,609.0,1,0.0,785.0,1394.0,GasA,4,1,SBrkr,1394,0,0,1.0,0.0,1,1,3,1,3,6,7,2,4,Attchd,1963.0,2,2.0,514.0,3,3,2,0,76,0,0,185,0,0,None,None,0,7,2009,WD ,Normal,11.976659481202368,2519 KELLOGG AVE,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,0.0,0.0,3.0,42.046827,-93.615686,68.0,2009-7
14,907405020,1536,214000,1-STORY 1946 & NEWER ALL STYLES,RL,9135,1,None,3,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,4,3,PConc,4,3,3,5,810.0,1,0.0,726.0,1536.0,GasA,5,1,SBrkr,1536,0,0,1.0,0.0,2,0,3,1,4,7,7,0,0,Attchd,2002.0,2,2.0,532.0,3,3,2,192,74,0,0,0,0,0,None,None,0,12,2008,WD ,Normal,12.273731294003989,812 TENNYSON AVE,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,0.0,0.0,3.0,42.014549,-93.687825,70.0,2008-12
15,531382110,1680,163000,2-STORY 1946 & NEWER,RL,8480,1,None,2,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,4,3,PConc,4,3,1,5,602.0,1,0.0,284.0,886.0,GasA,5,1,SBrkr,886,794,0,0.0,1.0,2,1,3,1,4,7,7,0,0,Attchd,1993.0,2,2.0,474.0,3,3,2,144,96,0,0,0,0,0,None,None,0,10,2008,WD ,Normal,12.0015054797889,5220 MARYLAND ST,RESIDENTIAL,2-STORY 1946 & NEWER,0.0,0.0,3.0,42.035878,-93.689024,50.0,2008-10
16,906380120,1274,203000,1-STORY 1946 & NEWER ALL STYLES,RL,8814,1,None,3,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,4,3,PConc,4,3,1,5,925.0,1,0.0,349.0,1274.0,GasA,5,1,SBrkr,1274,0,0,1.0,0.0,2,0,3,1,4,6,7,0,0,Attchd,2005.0,2,2.0,508.0,3,3,2,264,98,0,0,0,0,0,None,None,0,1,2007,New,Partial,12.220961258023925,319 HARTFORD DR,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,0.0,0.0,3.0,42.024598,-93.689071,68.0,2007-1
17,909101060,864,67000,1-STORY 1945 & OLDER,RL,8248,1,Grvl,3,Lvl,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,None,0.0,3,3,BrkTil,3,3,1,3,41.0,1,0.0,823.0,864.0,GasA,3,0,FuseF,864,0,0,1.0,0.0,1,0,2,1,3,5,7,0,0,None,1914.0,0,0.0,0.0,0,0,0,0,0,100,0,0,0,0,None,None,0,9,2008,WD ,Normal,11.112447898373103,2910 WOOD ST,RESIDENTIAL,1-STORY 1945 & OLDER,0.0,0.0,2.0,42.022089,-93.656735,45.0,2008-9
18,534152050,1610,205000,1-STORY 1946 & NEWER ALL STYLES,RL,10603,1,None,2,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,CompShg,Plywood,Plywood,BrkFace,28.0,3,3,PConc,3,3,2,4,1200.0,1,0.0,410.0,1610.0,GasA,4,1,SBrkr,1610,0,0,1.0,0.0,2,0,3,1,4,6,7,2,3,Attchd,1977.0,2,2.0,480.0,3,3,2,168,68,0,0,0,0,0,None,None,0,2,2010,WD ,Normal,12.230765258120545,2102 PRAIRIE VIEW EAST,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,0.0,0.0,3.0,42.043306,-93.637463,68.0,2010-2
19,923252075,1091,131250,SPLIT OR MULTI-LEVEL,RL,7706,1,None,3,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,3,3,2,114.0,5,270.0,0.0,384.0,GasA,5,1,SBrkr,1091,0,0,0.0,1.0,1,0,2,1,3,5,7,0,0,Attchd,1993.0,3,1.0,429.0,3,3,2,280,0,0,0,0,0,0,None,Shed,700,8,2009,WD ,Normal,11.78485918045387,424 TEAGARDEN DR,RESIDENTIAL,SPLIT OR MULTI-LEVEL,0.0,0.0,2.0,41.987535,-93.606688,62.0,2009-8
20,531376060,1486,181000,1-STORY 1946 & NEWER ALL STYLES,RL,7441,1,None,2,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1461.0,1461.0,GasA,5,1,SBrkr,1486,0,0,0.0,0.0,2,0,3,1,4,7,7,0,0,Attchd,2006.0,2,2.0,566.0,3,3,2,0,32,0,0,0,0,0,None,None,0,6,2007,WD ,Normal,12.106252310247962,1514 CALIFORNIA AVE,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,0.0,0.0,3.0,42.03722,-93.691244,65.0,2007-6
21,902201120,789,115000,1-STORY 1946 & NEWER ALL STYLES,RM,6000,1,None,3,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,4,104.0,3,169.0,516.0,789.0,GasA,5,1,SBrkr,789,0,0,0.0,0.0,1,0,2,1,3,5,7,0,0,Detchd,1948.0,1,1.0,250.0,3,3,2,0,0,0,0,0,0,0,None,None,0,4,2008,WD ,Partial,11.652687407345388,1216 CARROLL AVE,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,0.0,0.0,2.0,42.033435,-93.608867,50.0,2008-4
22,923228080,1092,98000,2-STORY PUD - 1946 & NEWER,RM,1477,1,None,3,Lvl,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,6,9,1970,2007,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,4,CBlock,3,3,1,5,358.0,1,0.0,188.0,546.0,GasA,5,1,SBrkr,546,546,0,0.0,0.0,2,1,3,1,3,6,7,0,0,None,1970.0,0,0.0,0.0,0,0,2,187,0,0,0,0,0,0,None,None,0,3,2008,WD ,Normal,11.49272275765271,626 MEADOW PL,RESIDENTIAL,2-STORY TWNHM - 1946 & NEWER,0.0,0.0,3.0,41.992133,-93.603178,21.0,2008-3
23,902326030,2640,265979,2-STORY 1945 & OLDER,RM,11700,1,Pave,2,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,None,0.0,4,3,Stone,3,2,1,1,0.0,1,0.0,1240.0,1240.0,GasW,3,0,SBrkr,1320,1320,0,0.0,0.0,1,1,4,1,4,8,7,1,4,Detchd,1950.0,1,4.0,864.0,3,3,0,181,0,386,0,0,0,0,None,None,0,5,2009,WD ,Normal,12.491172637278908,829 DOUGLAS AVE,RESIDENTIAL,2-STORY 1945 & OLDER,0.0,0.0,2.0,42.029305,-93.612245,65.0,2009-5
24,527451330,1092,105500,2-STORY PUD - 1946 & NEWER,RM,1680,1,None,3,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,3,3,CBlock,3,3,1,2,300.0,1,0.0,225.0,525.0,GasA,3,1,SBrkr,525,567,0,0.0,0.0,1,1,3,1,3,6,7,0,0,Detchd,1997.0,1,1.0,320.0,3,3,2,0,0,0,0,0,0,0,None,None,0,3,2010,WD ,Normal,11.566466231898259,1342 BARKLEY CT,RESIDENTIAL,2-STORY TWNHM - 1946 & NEWER,0.0,0.0,3.0,42.051684,-93.627536,21.0,2010-3
25,528218100,1458,168165,2-STORY 1946 & NEWER,RL,13204,1,None,2,Lvl,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,44.0,3,3,PConc,4,3,1,1,0.0,1,0.0,608.0,608.0,GasA,5,1,SBrkr,608,850,0,0.0,0.0,2,0,3,1,4,6,7,0,0,BuiltIn,2007.0,3,2.0,454.0,3,3,2,100,33,0,0,0,0,0,None,None,0,5,2007,New,Partial,12.032700919255804,4205 CRESTMOOR AVE,RESIDENTIAL,2-STORY 1946 & NEWER,0.0,0.0,3.0,42.062279,-93.64573,58.0,2007-5
26,916386140,1466,201000,1-STORY 1946 & NEWER ALL STYLES,RL,8925,1,None,2,HLS,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,5,16.0,1,0.0,1450.0,1466.0,GasA,5,1,SBrkr,1466,0,0,0.0,0.0,2,0,3,1,4,7,7,0,0,Attchd,2007.0,3,3.0,610.0,3,3,2,100,18,0,0,0,0,0,None,None,0,7,2009,WD ,Normal,12.211060187041213,3028 COTTONTAIL LN,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,0.0,0.0,3.0,41.994695,-93.650453,73.0,2009-7
27,533221090,1573,177500,2-STORY PUD - 1946 & NEWER,FV,2117,1,None,3,Lvl,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,216.0,4,3,PConc,4,3,1,5,378.0,1,0.0,378.0,756.0,GasA,5,1,SBrkr,769,804,0,0.0,0.0,2,1,3,1,4,5,7,0,0,Detchd,2000.0,1,2.0,440.0,3,3,2,0,32,0,0,0,0,0,None,None,0,6,2010,WD ,Normal,12.086725887897607,2711 HAMPTON ST,RESIDENTIAL,2-STORY TWNHM - 1946 & NEWER,0.0,0.0,3.0,42.046145,-93.645606,68.0,2010-6
28,534128010,2090,200000,2-STORY 1946 & NEWER,RL,10382,1,None,2,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4,3,2,4,859.0,3,32.0,216.0,1107.0,GasA,5,1,SBrkr,1107,983,0,1.0,0.0,2,1,3,1,3,7,7,2,3,Attchd,1973.0,2,2.0,484.0,3,3,2,235,204,228,0,0,0,0,None,Shed,350,11,2009,WD ,Normal,12.206072645530174,1636 JOHNSON ST,RESIDENTIAL,2-STORY 1946 & NEWER,0.0,0.0,3.0,42.048761,-93.631971,68.0,2009-11
29,528106110,2046,450000,1-STORY 1946 & NEWER ALL STYLES,RL,15431,1,None,3,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,5,3,PConc,5,3,4,5,1430.0,1,0.0,564.0,1994.0,GasA,5,1,SBrkr,2046,0,0,1.0,0.0,2,1,2,1,5,7,7,2,4,Attchd,2005.0,3,3.0,878.0,3,3,2,188,65,0,0,175,0,0,None,None,0,8,2007,WD ,Normal,13.017002861746503,3331 WESTON DR,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,0.0,0.0,2.0,42.061284,-93.657967,105.0,2007-8
30,902206260,886,91300,1-STORY 1945 & OLDER,RM,5784,1,None,3,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,2,3,1,1,0.0,1,0.0,190.0,190.0,GasA,4,1,FuseA,886,0,0,0.0,0.0,1,0,2,1,3,4,7,0,0,Attchd,1938.0,1,1.0,273.0,3,3,2,144,20,80,0,0,0,0,None,None,0,12,2009,WD ,Normal,11.421906066583059,926 DUFF AVE,RESIDENTIAL,1-STORY 1945 & OLDER,0.0,0.0,2.0,42.030523,-93.610469,50.0,2009-12
31,528222090,1258,173500,1-STORY 1946 & NEWER ALL STYLES,RL,7697,1,None,3,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1246.0,1246.0,GasA,5,1,SBrkr,1258,0,0,0.0,0.0,2,0,3,1,4,6,7,0,0,Attchd,2007.0,2,2.0,462.0,3,3,2,0,0,0,0,0,0,0,None,None,0,8,2007,New,Partial,12.063932878369052,4302 WELBECK DR,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,0.0,0.0,3.0,42.063342,-93.644366,64.0,2007-8
32,528218150,1324,199500,1-STORY 1946 & NEWER ALL STYLES,RL,18494,1,None,2,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1324.0,1324.0,GasA,5,1,SBrkr,1324,0,0,0.0,0.0,2,0,3,1,4,6,7,0,0,Attchd,2005.0,3,2.0,430.0,3,3,2,36,23,0,0,0,0,0,None,None,0,1,2010,WD ,Normal,12.203569515312056,4103 CRESTMOOR AVE,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,0.0,0.0,3.0,42.061928,-93.644356,100.0,2010-1
33,903400180,1848,207000,1-1/2 STORY FINISHED ALL AGES,RL,13053,1,Pave,3,Bnk,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,833.0,833.0,GasA,4,1,SBrkr,1053,795,0,0.0,0.0,1,1,4,1,4,8,7,1,4,Detchd,1922.0,1,2.0,370.0,3,3,0,0,0,0,0,220,0,0,None,None,0,6,2008,WD ,Normal,12.240474072247506,816 BROOKRIDGE AVE,RESIDENTIAL,1-1/2 STORY FINISHED ALL AGES,0.0,0.0,4.0,42.029399,-93.627,64.0,2008-6
34,535453210,1269,155000,1-STORY 1946 & NEWER ALL STYLES,RL,7931,1,None,3,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,374.0,1,532.0,363.0,1269.0,GasA,3,1,FuseA,1269,0,0,0.0,0.0,1,1,3,1,3,6,7,1,2,Detchd,1964.0,1,1.0,308.0,3,3,2,0,0,0,0,0,0,0,None,None,0,6,2008,WD ,Normal,11.951180395901384,1522 MAXWELL AVE,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,0.0,0.0,3.0,42.037291,-93.606788,70.0,2008-6
35,916386010,1346,220000,1-STORY 1946 & NEWER ALL STYLES,RL,11896,1,None,2,Lvl,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,60.0,4,3,PConc,4,3,1,5,78.0,1,0.0,1258.0,1336.0,GasA,5,1,SBrkr,1346,0,0,1.0,0.0,2,0,3,1,4,6,7,1,3,Attchd,2008.0,3,3.0,660.0,3,3,2,100,48,0,0,0,0,0,None,None,0,5,2010,WD ,Normal,12.301382825334498,3005 CEDAR LN,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,0.0,0.0,3.0,41.995346,-93.649203,88.0,2010-5
36,907181090,1749,196000,2-STORY 1946 & NEWER,RL,9272,1,None,2,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,5,500.0,1,0.0,342.0,842.0,GasA,5,1,SBrkr,856,893,0,0.0,0.0,2,1,3,1,4,7,7,0,0,Attchd,1999.0,2,2.0,515.0,3,3,2,140,85,0,0,0,0,0,None,None,0,6,2006,WD ,Normal,12.185869938212655,5408 CERVANTES DR,RESIDENTIAL,2-STORY 1946 & NEWER,0.0,0.0,3.0,42.0168729,-93.691931,68.0,2006-6
