,PID,SalePrice,MSSubClass,MSZoning,LotArea,LotShape,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,LowQualFinSF,BedroomAbvGr,KitchenQual,Functional,Fireplaces,GarageFinish,GarageCars,PavedDrive,MoSold,SaleCondition,LogSalePrice,ClassPr_S,Latitude,Longitude,LF_median,DistanceFromCenter,total_baths,TotalPorchSF,TotalFinSF
10,528186170,219500,1-STORY PUD 1946 & NEWER,RL,6240,3,NridgHt,Norm,Norm,1Story,8,5,2006,2007,Hip,MetalSd,196.0,4,3,5,4,1,5,1318.0,1342.0,5,1,SBrkr,0,2,4,7,1,2,2,2,2,1,12.299107511497365,RESIDENTIAL,42.0571198,-93.6514243,48.0,3.650538071511289,2.0,35,1366.0
11,923426070,136000,2-STORY 1946 & NEWER,RL,10475,3,Mitchel,Norm,Norm,2Story,5,5,1991,1991,Gable,HdBoard,0.0,3,3,5,4,1,2,166.0,624.0,4,1,SBrkr,0,3,3,7,0,1,2,2,3,1,11.820410164718188,RESIDENTIAL,41.986647,-93.600582,63.0,5.3079459188762526,1.5,22,1732.0
12,902204080,80000,1-STORY 1945 & OLDER,RM,7404,3,OldTown,Norm,Norm,1Story,4,6,1920,1950,Gable,MetalSd,0.0,3,3,4,2,1,1,861.0,861.0,3,1,SBrkr,0,2,3,7,0,1,2,0,11,1,11.289781913656018,RESIDENTIAL,42.032048,-93.608829,62.0,1.342803129132079,1.0,128,861.0
13,535105100,159000,1-STORY 1946 & NEWER ALL STYLES,RL,9500,2,NAmes,Norm,Norm,1Story,6,5,1963,1963,Gable,Plywood,247.0,3,3,3,4,1,3,785.0,1394.0,4,1,SBrkr,0,3,3,7,2,2,2,2,7,1,11.976659481202368,RESIDENTIAL,42.046827,-93.615686,68.0,1.941030086481641,2.5,261,2003.0
14,907405020,214000,1-STORY 1946 & NEWER ALL STYLES,RL,9135,3,CollgCr,Norm,Norm,1Story,7,5,2002,2003,Gable,VinylSd,113.0,4,3,5,4,3,5,726.0,1536.0,5,1,SBrkr,0,3,4,7,0,2,2,2,12,1,12.273731294003989,RESIDENTIAL,42.014549,-93.687825,70.0,5.495232092010636,3.0,266,2346.0
15,531382110,163000,2-STORY 1946 & NEWER,RL,8480,2,SawyerW,Norm,Norm,2Story,6,5,1993,1994,Gable,HdBoard,120.0,4,3,5,4,1,5,284.0,886.0,5,1,SBrkr,0,3,4,7,0,2,2,2,10,1,12.0015054797889,RESIDENTIAL,42.035878,-93.689024,50.0,5.317844224766615,3.0,240,2282.0
16,906380120,203000,1-STORY 1946 & NEWER ALL STYLES,RL,8814,3,CollgCr,Norm,Norm,1Story,7,5,2005,2007,Gable,VinylSd,80.0,4,3,5,4,1,5,349.0,1274.0,5,1,SBrkr,0,3,4,7,0,2,2,2,1,1,12.220961258023925,RESIDENTIAL,42.024598,-93.689071,68.0,5.336878035858521,3.0,362,2199.0
17,909101060,67000,1-STORY 1945 & OLDER,RL,8248,3,Edwards,Norm,Norm,1Story,3,3,1914,1950,Gable,Stucco,0.0,3,3,4,3,1,3,823.0,864.0,3,0,FuseF,0,2,3,7,0,0,0,0,9,1,11.112447898373103,RESIDENTIAL,42.022089,-93.656735,45.0,2.7945348362632503,2.0,100,905.0
18,534152050,205000,1-STORY 1946 & NEWER ALL STYLES,RL,10603,2,NWAmes,Norm,Norm,1Story,6,7,1977,2001,Gable,Plywood,28.0,3,3,5,3,2,4,410.0,1610.0,4,1,SBrkr,0,3,4,7,2,2,2,2,2,1,12.230765258120543,RESIDENTIAL,42.043306,-93.637463,68.0,1.7300777398258729,3.0,236,2810.0
19,923252075,131250,SPLIT OR MULTI-LEVEL,RL,7706,3,Mitchel,Norm,Norm,SLvl,6,5,1993,1996,Gable,HdBoard,0.0,3,4,3,4,3,2,0.0,384.0,5,1,SBrkr,0,2,3,7,0,3,1,2,8,1,11.78485918045387,RESIDENTIAL,41.987535,-93.606688,62.0,5.043149315093015,1.5,280,1475.0
20,531376060,181000,1-STORY 1946 & NEWER ALL STYLES,RL,7441,2,SawyerW,Norm,Norm,1Story,7,5,2006,2006,Gable,VinylSd,170.0,4,3,5,4,1,1,1461.0,1461.0,5,1,SBrkr,0,3,4,7,0,2,2,2,6,1,12.106252310247962,RESIDENTIAL,42.03722,-93.691244,65.0,5.517452328309309,2.0,32,1486.0
21,902201120,115000,1-STORY 1946 & NEWER ALL STYLES,RM,6000,3,OldTown,Norm,Norm,1Story,5,5,1948,1950,Gable,VinylSd,0.0,3,3,3,3,1,4,516.0,789.0,5,1,SBrkr,0,2,3,7,0,1,1,2,4,1,11.652687407345388,RESIDENTIAL,42.033435,-93.608867,50.0,1.3642940800844785,1.0,0,1062.0
22,923228080,98000,2-STORY PUD - 1946 & NEWER,RM,1477,3,MeadowV,Norm,Norm,2Story,6,9,1970,2007,Gable,CemntBd,0.0,3,4,3,3,1,5,188.0,546.0,5,1,SBrkr,0,3,3,7,0,0,0,2,3,1,11.49272275765271,RESIDENTIAL,41.992133,-93.603178,21.0,4.662277604745845,2.5,187,1450.0
23,902326030,265979,2-STORY 1945 & OLDER,RM,11700,2,OldTown,Norm,Norm,2Story,7,7,1880,2003,Mansard,Stucco,0.0,4,3,1,3,1,1,1240.0,1240.0,3,0,SBrkr,0,4,4,7,1,1,4,0,5,1,12.491172637278908,RESIDENTIAL,42.029305,-93.612245,65.0,1.0665328840230532,1.5,567,2640.0
24,527451330,105500,2-STORY PUD - 1946 & NEWER,RM,1680,3,BrDale,Norm,Norm,2Story,5,5,1971,1971,Gable,HdBoard,492.0,3,3,3,3,1,2,225.0,525.0,3,1,SBrkr,0,3,3,7,0,1,1,2,3,1,11.56646623189826,RESIDENTIAL,42.051684,-93.627536,21.0,2.3316190151488563,1.5,0,1392.0
25,528218100,168165,2-STORY 1946 & NEWER,RL,13204,2,Gilbert,RRAn,Norm,2Story,7,5,2006,2007,Gable,VinylSd,44.0,3,3,5,4,1,1,608.0,608.0,5,1,SBrkr,0,3,4,7,0,3,2,2,5,1,12.032700919255804,RESIDENTIAL,42.062279,-93.64573,58.0,3.896436437394885,2.0,133,1458.0
26,916386140,201000,1-STORY 1946 & NEWER ALL STYLES,RL,8925,2,Timber,Norm,Norm,1Story,8,5,2007,2007,Gable,VinylSd,0.0,4,3,5,4,3,5,1450.0,1466.0,5,1,SBrkr,0,3,4,7,0,3,3,2,7,1,12.211060187041213,RESIDENTIAL,41.994695,-93.650453,73.0,4.532083262925395,2.0,118,1482.0
27,533221090,177500,2-STORY PUD - 1946 & NEWER,FV,2117,3,Somerst,Norm,Norm,2Story,6,5,2000,2000,Gable,MetalSd,216.0,4,3,5,4,1,5,378.0,756.0,5,1,SBrkr,0,3,4,7,0,1,2,2,6,1,12.086725887897607,RESIDENTIAL,42.046145,-93.645606,68.0,2.4098299292329552,2.5,32,1951.0
28,534128010,200000,2-STORY 1946 & NEWER,RL,10382,2,NWAmes,PosN,Norm,2Story,7,6,1973,1973,Gable,HdBoard,240.0,3,3,3,4,2,4,216.0,1107.0,5,1,SBrkr,0,3,3,7,2,2,2,2,11,1,12.206072645530174,RESIDENTIAL,42.048761,-93.631971,68.0,2.0784861802781998,3.5,667,2981.0
29,528106110,450000,1-STORY 1946 & NEWER ALL STYLES,RL,15431,3,NridgHt,Norm,Norm,1Story,10,5,2005,2006,Hip,VinylSd,400.0,5,3,5,5,4,5,564.0,1994.0,5,1,SBrkr,0,2,5,7,2,3,3,2,8,1,13.017002861746503,RESIDENTIAL,42.061284,-93.657967,105.0,4.347450141727449,3.5,428,3476.0
30,902206260,91300,1-STORY 1945 & OLDER,RM,5784,3,OldTown,Artery,Norm,1Story,5,8,1938,1996,Gable,MetalSd,0.0,3,3,4,2,1,1,190.0,190.0,4,1,FuseA,0,2,3,7,0,1,1,2,12,1,11.42190606658306,RESIDENTIAL,42.030523,-93.610469,50.0,1.2005701179890156,1.0,244,886.0
31,528222090,173500,1-STORY 1946 & NEWER ALL STYLES,RL,7697,3,Gilbert,Norm,Norm,1Story,7,6,2007,2007,Gable,VinylSd,0.0,4,3,5,4,1,1,1246.0,1246.0,5,1,SBrkr,0,3,4,7,0,2,2,2,8,1,12.063932878369052,RESIDENTIAL,42.063342,-93.644366,64.0,3.956098516079116,2.0,0,1258.0
32,528218150,199500,1-STORY 1946 & NEWER ALL STYLES,RL,18494,2,Gilbert,Norm,Norm,1Story,6,5,2005,2005,Gable,VinylSd,0.0,4,3,5,4,1,1,1324.0,1324.0,5,1,SBrkr,0,3,4,7,0,3,2,2,1,1,12.203569515312056,RESIDENTIAL,42.061928,-93.644356,100.0,3.812476998074319,2.0,59,1324.0
33,903400180,207000,1-1/2 STORY FINISHED ALL AGES,RL,13053,3,BrkSide,Norm,Norm,1.5Fin,6,7,1923,2000,Gambrel,Wd Sdng,0.0,3,3,4,3,1,1,833.0,833.0,4,1,SBrkr,0,4,4,7,1,1,2,0,6,1,12.240474072247506,RESIDENTIAL,42.029399,-93.627,64.0,0.2270601485962873,1.5,220,1848.0
34,535453210,155000,1-STORY 1946 & NEWER ALL STYLES,RL,7931,3,NAmes,Norm,Norm,1Story,5,6,1960,1960,Gable,BrkFace,0.0,3,3,3,3,1,3,363.0,1269.0,3,1,FuseA,0,3,3,7,1,1,1,2,6,1,11.951180395901384,RESIDENTIAL,42.037291,-93.606788,70.0,1.668332955162029,1.5,0,2175.0
35,916386010,220000,1-STORY 1946 & NEWER ALL STYLES,RL,11896,2,Timber,Norm,Norm,1Story,7,5,2008,2008,Gable,VinylSd,60.0,4,3,5,4,1,5,1258.0,1336.0,5,1,SBrkr,0,3,4,7,1,3,3,2,5,1,12.301382825334498,RESIDENTIAL,41.995346,-93.649203,88.0,4.420416335907322,3.0,148,1424.0
36,907181090,196000,2-STORY 1946 & NEWER,RL,9272,2,CollgCr,Norm,Norm,2Story,7,5,1999,1999,Gable,VinylSd,0.0,4,3,5,4,1,5,342.0,842.0,5,1,SBrkr,0,3,4,7,0,2,2,2,6,1,12.185869938212656,RESIDENTIAL,42.0168729,-93.691931,68.0,5.741493713555909,2.5,225,2249.0
37,902206020,61500,1-STORY 1945 & OLDER,RM,7830,3,OldTown,Norm,Norm,1Story,3,5,1921,1950,Gable,AsbShng,0.0,3,3,4,2,1,1,76.0,492.0,3,1,SBrkr,0,1,3,7,0,1,1,0,6,1,11.02679245379461,RESIDENTIAL,42.031964,-93.610354,52.0,1.2165642626025428,2.0,78,908.0
38,527327050,195000,2-STORY 1946 & NEWER,RL,12046,2,NWAmes,Norm,Norm,2Story,6,6,1976,1976,Gable,Plywood,298.0,3,3,3,3,1,1,692.0,848.0,3,1,SBrkr,0,4,4,7,1,3,2,2,6,1,12.180754837545884,RESIDENTIAL,42.054427,-93.631528,68.0,2.681938245596371,2.5,224,2186.0
39,527455250,129250,1-STORY 1946 & NEWER ALL STYLES,RL,7150,3,NAmes,Norm,Norm,1Story,5,6,1966,1966,Hip,HdBoard,52.0,3,3,3,3,1,3,263.0,988.0,3,1,SBrkr,0,3,3,7,0,1,1,2,11,1,11.769503792370676,RESIDENTIAL,42.0488205,-93.6257971,65.0,2.0048691110320465,2.0,0,1713.0
40,528326110,291000,2-STORY 1946 & NEWER,RL,11000,3,NoRidge,Norm,Norm,2Story,9,5,2000,2000,Hip,VinylSd,295.0,4,3,5,5,2,1,1519.0,1519.0,5,1,SBrkr,0,4,5,7,1,2,3,2,6,1,12.581078546153629,RESIDENTIAL,42.055777,-93.650932,68.0,3.5070068087348845,2.5,315,2172.0
41,914452190,134000,1-STORY 1946 & NEWER ALL STYLES,RL,9187,3,Mitchel,Norm,Norm,1Story,6,5,1983,1983,Gable,VinylSd,0.0,3,4,5,3,1,4,748.0,1084.0,3,1,SBrkr,0,3,3,7,0,1,2,2,6,1,11.805595078933049,RESIDENTIAL,41.994206,-93.607597,71.0,4.315618593938948,1.5,278,1416.0
42,535425060,186000,1-STORY 1946 & NEWER ALL STYLES,RL,11355,2,NAmes,Norm,Norm,1Story,7,7,1958,2001,Gable,HdBoard,125.0,3,3,3,3,1,3,675.0,1312.0,5,1,SBrkr,0,3,3,7,1,2,2,2,4,1,12.133501952695338,RESIDENTIAL,42.041173,-93.605189,76.0,2.001830672580112,1.5,448,1949.0
43,532376250,133500,1-STORY 1946 & NEWER ALL STYLES,RL,8638,2,Sawyer,RRAe,Norm,1Story,5,6,1963,1963,Gable,HdBoard,0.0,3,3,5,3,1,4,744.0,925.0,4,1,SBrkr,0,2,3,7,0,1,2,2,10,1,11.801856756822442,RESIDENTIAL,42.035841,-93.672411,68.0,3.955622048854378,2.0,277,1106.0
44,535379110,148000,2-STORY 1945 & OLDER,RL,10800,3,OldTown,Norm,Norm,2Story,5,9,1895,1999,Gable,Wd Sdng,0.0,3,4,3,4,3,1,736.0,736.0,5,1,SBrkr,0,3,4,7,0,0,0,0,7,1,11.904967552746252,RESIDENTIAL,42.035854,-93.6139,60.0,1.0752964104895135,1.5,112,1534.0
45,528118010,325300,2-STORY 1946 & NEWER,RL,14215,2,NridgHt,Norm,Norm,2Story,8,5,2005,2006,Gable,VinylSd,380.0,4,3,5,5,3,1,1158.0,1158.0,5,1,SBrkr,0,4,4,7,1,2,3,2,11,1,12.692503112461443,RESIDENTIAL,42.060272,-93.657118,101.0,4.215857475968311,3.5,394,2376.0
46,528235160,215000,2-STORY 1946 & NEWER,RL,11796,2,Gilbert,Norm,Norm,2Story,7,5,2004,2005,Gable,VinylSd,0.0,4,3,5,4,3,1,847.0,847.0,5,1,SBrkr,0,4,4,7,1,3,2,2,7,1,12.2783933071098,RESIDENTIAL,42.061541,-93.643961,59.0,3.759754667154544,2.5,148,1959.0
47,905478030,131000,1-1/2 STORY FINISHED ALL AGES,RL,11409,3,Edwards,Norm,Norm,1.5Fin,5,4,1949,2008,Gable,Wd Sdng,0.0,3,3,3,3,1,1,476.0,768.0,4,1,SBrkr,0,3,3,5,1,1,1,2,1,1,11.782952602183288,RESIDENTIAL,42.0247212,-93.66104,60.0,3.05260298312674,1.5,160,2008.0
48,902106130,109500,1-STORY 1945 & OLDER,RM,4485,3,OldTown,Artery,Norm,1Story,5,7,1920,1950,Gable,Wd Sdng,0.0,3,3,5,3,1,3,357.0,936.0,3,1,SBrkr,0,2,3,7,1,0,0,1,5,1,11.603679828238691,RESIDENTIAL,42.031363,-93.62024,56.0,0.3980984377085472,2.0,186,1515.0
49,902102080,110000,1-1/2 STORY FINISHED ALL AGES,RM,10440,3,OldTown,Norm,Norm,2Story,5,6,1910,1981,Gable,Wd Sdng,0.0,3,3,5,3,1,1,440.0,440.0,4,1,SBrkr,0,2,3,7,0,1,2,2,5,1,11.608235644774552,RESIDENTIAL,42.033273,-93.615583,60.0,0.8249520338552808,1.5,202,1230.0
50,909176170,150000,DUPLEX - ALL STYLES AND AGES,RL,10890,3,SWISU,Norm,Norm,2Story,5,6,1923,1950,Hip,Wd Sdng,0.0,3,3,5,3,2,2,925.0,1296.0,2,0,FuseA,0,6,3,5,0,0,0,2,1,0,11.918390573078392,RESIDENTIAL,42.018761,-93.65181,60.0,2.587720393373413,4.0,982,2963.0
51,533206070,193800,1-STORY PUD 1946 & NEWER,FV,3784,2,Somerst,Norm,Norm,1Story,8,5,2006,2007,Gable,VinylSd,36.0,4,3,5,4,1,5,1451.0,1511.0,5,1,SBrkr,0,2,4,7,0,3,2,2,2,1,12.174581978438804,RESIDENTIAL,42.047406,-93.647166,32.0,2.6000849368956125,3.0,120,1625.0
52,527302020,178000,SPLIT OR MULTI-LEVEL,RL,12090,3,NWAmes,Norm,Norm,SLvl,6,7,1984,2003,Hip,VinylSd,74.0,3,3,3,4,1,1,585.0,585.0,5,1,SBrkr,0,3,3,7,1,3,2,2,1,0,12.089538829274222,RESIDENTIAL,42.055545,-93.637876,78.0,2.949813873720395,3.5,527,1868.0
53,907414060,179600,1-STORY 1946 & NEWER ALL STYLES,RL,8500,3,CollgCr,Norm,Norm,1Story,7,5,2004,2004,Gable,VinylSd,106.0,4,3,5,4,3,1,1422.0,1422.0,5,1,SBrkr,0,3,4,7,0,2,2,2,11,1,12.098487434850236,RESIDENTIAL,42.013576,-93.684714,63.0,5.29144796291628,2.0,252,1422.0
54,904301060,179000,DUPLEX - ALL STYLES AND AGES,RL,10800,3,Edwards,Norm,Norm,1Story,5,5,1987,1988,Gable,Plywood,0.0,3,3,3,4,4,5,0.0,1200.0,3,1,SBrkr,0,3,3,7,0,0,0,2,3,1,12.095141084822892,RESIDENTIAL,42.028101,-93.658207,60.0,2.7591253016375945,6.0,120,2400.0
55,532479020,140000,1-1/2 STORY FINISHED ALL AGES,RL,10759,3,Sawyer,Feedr,Norm,1.5Fin,5,4,1972,1972,Gable,HdBoard,0.0,3,4,3,4,1,1,0.0,1001.0,3,1,SBrkr,0,4,3,7,1,1,2,2,7,1,11.84939770159144,RESIDENTIAL,42.034532,-93.660522,70.0,2.963018738387218,2.0,92,2642.0
56,528110070,395000,1-STORY 1946 & NEWER ALL STYLES,RL,14226,3,NridgHt,Norm,Norm,1Story,8,5,2006,2006,Hip,VinylSd,375.0,4,3,5,4,3,1,1935.0,1935.0,4,1,SBrkr,0,3,4,7,1,3,3,2,7,1,12.88664104388326,RESIDENTIAL,42.0624082,-93.6562861,110.0,4.361979670563467,2.0,360,1973.0
57,534429130,151500,1-STORY 1946 & NEWER ALL STYLES,RL,10800,3,NAmes,Norm,Norm,1Story,5,7,1960,1960,Hip,Wd Sdng,88.0,3,3,3,3,1,4,616.0,1248.0,5,1,SBrkr,0,3,3,7,0,1,1,2,5,1,11.92834090393156,RESIDENTIAL,42.040143,-93.622017,80.0,1.0677051075591375,2.0,0,1880.0
58,528365060,341000,2-STORY 1946 & NEWER,RL,10542,3,NoRidge,Norm,Norm,2Story,7,5,1993,1994,Hip,Wd Sdng,651.0,4,3,5,4,4,5,138.0,1311.0,5,1,SBrkr,0,3,4,7,1,2,3,2,8,1,12.739637756265656,RESIDENTIAL,42.049501,-93.65579,96.0,3.2847260550329938,3.5,620,3591.0
59,533135020,235000,2-STORY 1946 & NEWER,RL,11949,3,NoRidge,Norm,Norm,2Story,7,8,1991,2008,Gable,VinylSd,196.0,4,4,5,4,1,5,158.0,975.0,5,1,SBrkr,0,3,4,7,1,1,2,2,7,1,12.367340793126296,RESIDENTIAL,42.047669,-93.650333,68.0,2.8098402435851546,3.0,562,2572.0
60,910203100,72000,1-STORY 1945 & OLDER,RM,8534,3,IDOTRR,Norm,Norm,1Story,4,4,1925,1950,Gable,Wd Sdng,0.0,3,3,4,2,1,1,432.0,432.0,3,0,FuseA,0,2,3,6,0,0,0,0,6,1,11.184421397998191,RESIDENTIAL,42.020441,-93.628298,61.0,1.1836432969656034,1.0,112,672.0
61,905451390,154000,1-1/2 STORY FINISHED ALL AGES,RL,10512,3,Edwards,Norm,Norm,1.5Fin,6,6,1954,1954,Gable,Wd Sdng,0.0,3,3,3,3,1,3,497.0,988.0,5,1,SBrkr,0,3,4,7,0,1,1,2,5,1,11.944707881395766,RESIDENTIAL,42.024949,-93.66712,70.0,3.539327079825792,1.5,366,2117.0
62,533213010,222000,1-STORY PUD 1946 & NEWER,FV,3830,2,Somerst,Norm,Norm,1Story,6,5,2008,2008,Gable,VinylSd,280.0,4,3,5,4,1,1,1726.0,1726.0,5,1,SBrkr,0,2,4,7,1,3,2,2,1,1,12.310432660854415,RESIDENTIAL,42.047338,-93.647039,68.0,2.5873328089179557,2.5,254,1726.0
63,528118030,390000,2-STORY 1946 & NEWER,RL,13418,3,NridgHt,Norm,Norm,2Story,9,5,2006,2006,Hip,VinylSd,270.0,4,3,5,5,4,5,430.0,1850.0,5,1,SBrkr,0,4,5,7,1,3,3,2,10,0,12.873902018105827,RESIDENTIAL,42.06027,-93.657188,108.0,4.219323438177417,3.5,394,4168.0
64,907200340,128200,1-STORY 1946 & NEWER ALL STYLES,RL,10650,3,CollgCr,Norm,Norm,1Story,5,6,1976,1976,Gable,HdBoard,0.0,3,3,3,3,3,1,0.0,894.0,3,1,SBrkr,0,3,3,7,0,1,1,2,2,1,11.761346823468706,RESIDENTIAL,42.021395,-93.687745,75.0,5.287197535792162,2.0,365,1788.0
65,528164060,615000,1-STORY 1946 & NEWER ALL STYLES,RL,12720,3,NridgHt,Norm,Norm,1Story,10,5,2003,2003,Hip,MetalSd,680.0,5,3,5,5,4,5,278.0,2535.0,5,1,SBrkr,0,1,5,7,2,3,3,2,2,1,13.329377546788654,RESIDENTIAL,42.058484,-93.656958,106.0,4.054648573881102,3.5,435,4727.0
66,907202010,158000,1-STORY 1946 & NEWER ALL STYLES,RL,12250,2,CollgCr,Norm,Norm,1Story,5,6,1978,1978,Gable,HdBoard,180.0,3,3,3,4,2,4,83.0,864.0,5,1,SBrkr,0,3,3,7,0,1,2,2,5,1,11.970350312009105,RESIDENTIAL,42.018839,-93.687518,68.0,5.332612872177665,2.0,491,1955.0
67,528186180,254000,1-STORY PUD 1946 & NEWER,RL,6240,3,NridgHt,Norm,Norm,1Story,8,5,2006,2006,Hip,MetalSd,176.0,4,3,5,4,1,5,461.0,1324.0,5,1,SBrkr,0,2,4,7,1,3,2,2,12,1,12.445089546000672,RESIDENTIAL,42.056983,-93.6514849,48.0,3.641359198595468,3.0,230,2187.0
68,909250060,169000,1-1/2 STORY FINISHED ALL AGES,RL,9638,3,SWISU,Feedr,Norm,1.5Fin,6,7,1919,1990,Gable,Wd Sdng,0.0,3,3,5,3,1,1,804.0,804.0,5,1,SBrkr,0,4,4,5,1,1,1,2,3,1,12.037653993905211,RESIDENTIAL,42.019093,-93.646683,50.0,2.214143847113734,2.0,430,2447.0
69,528315060,284500,2-1/2 STORY ALL AGES,RL,9660,3,NoRidge,Norm,Norm,2.5Unf,8,5,1997,1997,Hip,HdBoard,1290.0,4,3,5,4,1,1,1173.0,1173.0,5,1,SBrkr,0,3,4,7,1,3,2,2,9,1,12.558488532548523,RESIDENTIAL,42.053879,-93.654594,84.0,3.5437392333373614,2.5,131,2199.0
70,528231020,184500,SPLIT OR MULTI-LEVEL,RL,13300,2,Gilbert,Norm,Norm,SLvl,7,5,2004,2004,Gable,VinylSd,0.0,4,3,5,4,1,5,58.0,384.0,5,1,SBrkr,0,3,4,7,1,3,2,2,6,1,12.125404742462718,RESIDENTIAL,42.061443,-93.644076,67.0,3.753825449482535,3.5,100,1700.0
71,528456230,210400,1-STORY 1946 & NEWER ALL STYLES,FV,9000,3,Somerst,Norm,Norm,1Story,7,5,2006,2007,Gable,VinylSd,0.0,4,3,5,4,1,1,1335.0,1335.0,5,1,SBrkr,0,3,4,7,0,2,2,2,6,1,12.256765759845692,RESIDENTIAL,42.051795,-93.65042,75.0,3.13953295675526,2.0,210,1335.0
72,907180120,214000,1-STORY 1946 & NEWER ALL STYLES,RL,10264,2,CollgCr,Norm,Norm,1Story,7,5,1999,1999,Gable,VinylSd,183.0,4,3,5,4,3,4,426.0,1588.0,5,1,SBrkr,0,3,4,7,0,2,2,2,8,1,12.273731294003989,RESIDENTIAL,42.017631,-93.690215,78.0,5.582397725534916,2.0,187,2750.0
